,RP1,RP2,RP3,RP4,RP5,RP6,RP7,LP1,LP2,LP3,LP4,LP5,LP6,LP7,LP_sum,LP_mean,LP_std,LP_var,LP_min,LP_max,LP_sma,LP_quantile,LP_median,LP_mad,LP_skew,LP_kurt,RAX,RAY,RAZ,RA_sum,RA_mean,RA_std,RA_var,RA_min,RA_max,RA_sma,RA_quantile,RA_median,RA_mad,RA_skew,LAX,LAY,LAZ,LA_sum,LA_mean,LA_std,LA_var,LA_min,LA_max,LA_sma,LA_quantile,LA_median,LA_mad,LA_skew,label
11,29,35,33,29,25,20,54,32,12,11,13,11,8,7,94,13.428571428571429,8.462803768199262,71.61904761904762,7,32,13.31428571428572,11.0,11.0,5.306122448979593,2.2898232073988494,5.663691503508373,176,16,240,432,144.0,115.37764081484765,13312.0,16,240,123.2,176.0,176.0,85.33333333333333,-1.1520696383139377,136,12,244,392,130.66666666666666,116.09191760554795,13477.333333333334,12,244,164.0,136.0,136.0,79.11111111111111,-0.206296420507189,5
12,29,35,33,29,25,20,54,32,12,11,13,11,8,7,94,13.428571428571429,8.462803768199262,71.61904761904762,7,32,13.342857142857147,11.0,11.0,5.306122448979593,2.2898232073988494,5.663691503508373,200,248,60,508,169.33333333333334,97.67974883942594,9541.333333333332,60,248,150.93333333333334,200.0,200.0,72.88888888888889,-1.2735289472040205,244,148,108,500,166.66666666666666,69.89515958443285,4885.333333333334,108,244,158.93333333333334,148.0,148.0,51.55555555555555,1.1160820590189833,5
13,29,35,34,30,25,20,55,32,12,11,13,11,8,7,94,13.428571428571429,8.462803768199262,71.61904761904762,7,32,13.371428571428575,11.0,11.0,5.306122448979593,2.2898232073988494,5.663691503508373,208,232,60,500,166.66666666666666,93.15220519844569,8677.333333333332,60,232,158.66666666666669,208.0,208.0,71.11111111111111,-1.603603749909116,252,240,124,616,205.33333333333334,70.691819422995,4997.333333333333,124,252,164.0,240.0,240.0,54.22222222222222,-1.676071234934173,5
14,30,35,34,30,25,20,55,32,12,11,13,11,8,7,94,13.428571428571429,8.462803768199262,71.61904761904762,7,32,13.400000000000002,11.0,11.0,5.306122448979593,2.2898232073988494,5.663691503508373,240,196,96,532,177.33333333333334,73.79250187744913,5445.333333333333,96,240,161.06666666666666,196.0,196.0,54.22222222222222,-1.0654859988564305,156,68,56,280,93.33333333333333,54.60158727851539,2981.3333333333335,56,156,145.06666666666666,68.0,68.0,41.77777777777778,1.638409321261132,5
15,30,36,35,30,26,20,56,32,12,11,13,11,8,7,94,13.428571428571429,8.462803768199262,71.61904761904762,7,32,13.42857142857143,11.0,11.0,5.306122448979593,2.2898232073988494,5.663691503508373,204,200,64,468,156.0,79.6994353806851,6352.0,64,204,162.66666666666669,200.0,200.0,61.333333333333336,-1.7271438911656696,156,68,56,280,93.33333333333333,54.60158727851539,2981.3333333333335,56,156,137.86666666666667,68.0,68.0,41.77777777777778,1.638409321261132,5
16,31,36,35,30,26,20,57,33,12,11,13,11,8,8,96,13.714285714285714,8.712333895390023,75.90476190476188,8,33,13.485714285714286,11.0,11.0,5.510204081632653,2.383243548758187,5.987229400087218,184,212,4,400,133.33333333333334,112.87751473758328,12741.333333333332,4,212,160.53333333333336,184.0,184.0,86.22222222222221,-1.6129234258972733,160,60,128,348,116.0,51.068581339214816,2608.0,60,160,134.93333333333334,128.0,128.0,37.333333333333336,-0.9990174696472169,5
17,31,36,35,30,26,20,57,34,13,11,13,11,9,8,99,14.142857142857142,8.952254305081885,80.14285714285714,8,34,13.628571428571428,11.0,11.0,5.673469387755101,2.4056319384023985,6.065216493338548,172,200,20,392,130.66666666666666,96.85728332620802,9381.333333333334,20,200,152.8,172.0,172.0,73.77777777777779,-1.5706340283164841,160,108,12,280,93.33333333333333,75.0821772016058,5637.333333333334,12,160,120.2666666666667,108.0,108.0,54.22222222222223,-0.8454942827585457,5
18,31,37,35,30,26,20,57,34,13,11,13,11,9,8,99,14.142857142857142,8.952254305081885,80.14285714285714,8,34,13.771428571428569,11.0,11.0,5.673469387755101,2.4056319384023985,6.065216493338548,168,224,8,400,133.33333333333334,112.0951976372464,12565.333333333332,8,224,146.13333333333335,168.0,168.0,83.55555555555556,-1.2585712790427206,40,248,164,452,150.66666666666666,104.63906217724495,10949.333333333334,40,248,109.33333333333334,164.0,164.0,73.77777777777779,-0.5640896874555227,5
19,31,37,35,30,26,21,58,35,13,11,14,11,9,9,102,14.571428571428571,9.198861213163704,84.61904761904762,9,35,13.999999999999996,11.0,11.0,5.83673469387755,2.4233627740680808,6.097900548147104,84,4,136,224,74.66666666666667,66.4931074122223,4421.333333333333,4,136,125.6,84.0,84.0,47.11111111111111,-0.6191994717448027,176,128,32,336,112.0,73.32121111929344,5376.0,32,176,113.06666666666668,128.0,128.0,53.333333333333336,-0.9352195295828245,5
20,31,37,36,30,26,21,58,36,13,10,14,12,9,9,103,14.714285714285714,9.586697132212006,91.90476190476188,9,36,14.257142857142853,12.0,12.0,6.0816326530612255,2.4207767874539696,6.090440870895867,156,212,188,556,185.33333333333334,28.095076674273972,789.3333333333334,156,212,131.46666666666667,188.0,188.0,19.555555555555554,-0.4232731602680096,4,116,144,264,88.0,74.08103670980854,5488.0,4,144,112.0,116.0,116.0,56.0,-1.457862967321305,5
21,32,37,36,30,26,21,58,37,14,8,14,12,9,9,103,14.714285714285714,10.1277553570092,102.57142857142856,8,37,14.457142857142852,12.0,12.0,6.367346938775511,2.329624979533738,5.728245435712019,172,244,68,484,161.33333333333334,88.48352012286432,7829.333333333334,68,244,137.06666666666666,172.0,172.0,62.22222222222222,-0.5345905344904258,232,232,232,696,232.0,0.0,0.0,232,232,135.2,232.0,232.0,0.0,0.0,5
22,32,38,36,30,26,21,58,38,14,6,14,12,10,10,104,14.857142857142858,10.574002260711117,111.8095238095238,6,38,14.599999999999998,12.0,12.0,6.612244897959187,2.2590844313428637,5.582029143654836,120,236,240,596,198.66666666666666,68.15668223537097,4645.333333333333,120,240,150.66666666666669,236.0,236.0,52.44444444444445,-1.7253417676993215,232,132,212,576,192.0,52.91502622129181,2800.0,132,232,154.93333333333334,212.0,212.0,40.0,-1.457862967321305,5
23,32,38,36,30,26,21,58,44,8,1,14,14,11,12,104,14.857142857142858,13.618964368709925,185.4761904761905,1,44,14.742857142857142,12.0,12.0,8.3265306122449,2.0031947365523117,4.919049556638392,120,236,240,596,198.66666666666666,68.15668223537097,4645.333333333333,120,240,163.73333333333332,236.0,236.0,52.44444444444445,-1.7253417676993215,160,104,80,344,114.66666666666667,41.05281151557507,1685.333333333333,80,160,147.73333333333332,104.0,104.0,30.222222222222225,1.0902905798280025,5
